90,-50,10
155,10,135
115,-60,-25
100,-5,55
105,-65,55
70,-60,50
20,-170,-95
135,-80,-60
35,-85,10
70,-110,-105
50,-205,-195
50,-95,-70
90,-95,60
70,-60,40
145,20,125
280,0,280
185,-20,185
30,-105,0
50,-130,-75
0,-265,-255
40,-175,-145
55,-85,-65
220,-10,150
95,-65,75
125,0,100
280,-80,270
30,-90,-45
25,-100,-5
70,-55,25
-20,-215,-195
90,-60,50
70,-140,40
35,-330,-290
30,-165,-95
25,-120,-70
115,0,65
10,-160,-145
35,-145,-75
10,-170,-70
95,-25,45
5,-90,-50
50,-155,-55
140,-40,100
130,-15,25
95,-95,-95
55,-90,-90
110,-60,5
30,-165,-120
195,-10,175
200,10,120
105,-100,-100
155,0,115
110,-85,-75
85,-80,75
25,-100,-40
95,-75,-55
195,-100,185
165,-20,55
0,-105,-50
20,-120,-100
230,0,230
70,-195,-140
40,-145,-105
80,-100,55
150,-20,60
45,-95,30
365,10,365
20,-105,-105
-10,-255,-225
100,-20,85
40,-120,-60
120,-95,-95
165,-40,85
90,-105,-30
25,-105,15
225,-10,215
155,-100,125
90,-20,80
20,-160,-115
80,-75,-15
40,-260,-245
35,-75,25
160,-60,-60
90,-125,-110
85,-65,5
155,-60,135
95,-60,65
200,-40,175
0,-115,-110
80,-30,40
260,-15,200
95,-50,-45
10,-130,-120
115,-35,95
95,-85,80
130,-40,100
40,-180,-135
-10,-175,-165
65,-120,-120
35,-145,35
20,-130,-110
90,-80,60
70,-180,-160
25,-135,-95
120,-80,-35
15,-105,-15
5,-225,-195
195,0,195
120,-10,-10
65,-65,55
260,10,170
255,-30,195
215,20,165
10,-165,-135
65,-90,20
-5,-120,-120
25,-115,-65
0,-170,-95
230,-55,220
-10,-160,-160
185,-35,100
385,10,375
115,-20,0
20,-205,-90
135,-35,-20
25,-120,-80
20,-230,-135
60,-65,30
60,-85,-10
45,-110,15
60,-60,10
55,-135,-135
60,-30,15
30,-190,-180
80,-80,-20
15,-195,-150
200,-15,170
30,-175,-175
10,-250,-250
30,-70,-30
220,0,160
30,-165,-35
55,-100,-70
20,-155,-115
190,-10,190
10,-165,-70
10,-150,-90
180,-25,180
180,-35,180
160,10,125
25,-150,-70
140,5,5
105,-25,60
105,-30,65
25,-50,-5
130,-50,30
10,-190,-20
190,-10,45
75,-60,-60
10,-170,-150
105,-25,85
75,-65,-60
50,-75,30
80,-90,70
110,-5,60
20,-125,-85
30,-115,-45
80,-40,30
25,-135,-85
20,-220,-150
25,-115,-5
50,-120,-70
70,-85,20
-10,-110,-85
20,-140,10
60,-150,-140
10,-105,-50
10,-195,-175
60,-80,-30
40,-245,-235
75,-50,65
235,10,225
100,-10,40
225,-20,225
45,-120,0
55,-90,25
10,-235,-225
35,-110,-75
105,-75,45
25,-65,-25
145,-10,30
55,-220,-170
140,-10,70
70,-30,20
25,-80,-25
180,-25,170
10,-265,-230
160,-30,60
230,-20,230
300,-10,270
25,-55,15
140,-20,140
105,-65,-25
-10,-170,-105
90,-60,10
55,-65,-55
75,-55,65
70,-105,-65
165,-30,155
10,-115,-80
90,-80,60
105,-45,95
-10,-100,-15
85,-50,75
245,10,145
65,-160,-160
185,-10,105
50,-190,-110
75,-65,50
50,-125,-95
40,-95,-60
20,-265,-240
225,10,215
30,-70,-15
40,-160,-140
25,-110,-10
125,-85,-85
110,-50,-5
160,-90,125
140,-55,140
180,-30,105
110,0,20
25,-135,-75
90,-30,0
115,-10,20
20,-190,-190
80,-55,70
150,-30,130
30,-135,-115
120,-15,-15
25,-100,25
185,-10,20
-5,-165,-125
210,-10,200
-10,-205,-160
175,-20,150
55,-125,-30
200,10,190
95,-165,-165
75,-245,-235
30,-310,-285
55,-135,-135
15,-100,-40
110,-20,-15
20,-300,-300
65,-120,-80
145,-50,135
100,-20,80
190,-40,110
85,-35,50
80,-105,80
85,-60,75
20,-80,-70
60,-120,-120
105,-95,75
-10,-170,-135
20,-195,-95
35,-95,-30
140,-30,120
10,-95,-65
10,-120,-15
105,-25,30
45,-220,-220
50,-140,-125
25,-100,-55
105,-110,-70
-10,-210,-205
55,-80,-60
160,-10,90
160,-20,70
45,-110,5
10,-265,-265
175,-45,135
45,-80,35
115,-25,95
65,-40,55
0,-245,-145
110,-35,35
60,-190,-190
50,-105,-35
205,-30,125
175,-30,80
20,-115,-50
80,-10,10
40,-180,-180
110,0,60
55,-105,-35
40,-130,-90
130,-90,110
95,-85,95
165,-15,155
35,-130,-105
225,-30,110
90,-125,-65
70,-115,-95
135,-50,95
310,10,310
-10,-140,-65
210,-25,210
5,-180,-170
10,-85,-35
65,-65,50
130,-40,80
190,-10,150
95,-55,-55
75,-35,55
200,-35,200
5,-125,-55
50,-150,-150
55,-155,-90
125,-45,95
35,-60,-5
40,-225,-170
50,-80,-35
55,-120,20
20,-80,-15
40,-150,-100
0,-155,-130
65,-195,-170
145,-15,125
85,-70,40
95,-30,65
10,-210,-155
330,-90,320
0,-190,-165
110,-20,-10
100,-65,50
175,10,140
100,-70,75
180,-40,150
195,-55,100
145,-90,85
75,-30,45
90,-145,-100
130,-130,-100
15,-180,-110
95,-20,40
10,-200,-110
65,-50,-40
230,-25,190
35,-110,-5
125,-35,105
330,-35,240
165,-30,165
40,-115,-85
155,-20,155
175,-60,170
85,15,55
150,10,75
130,-50,130
60,-80,-30
145,-10,125
180,0,175
80,-135,65
110,-120,-120
150,-10,80
170,-20,60
30,-270,-225
95,-15,75
-10,-240,-240
140,5,140
65,-80,65
190,-55,160
0,-110,-50
0,-210,-135
